((2)-((1)-((((1)/(((5)-(4))/(2)))*(((4)+((1)-(3)))*(2)))*(3)))),25
(((((1)-(4))*(1))*(((4)-(1))+(2)))+((1)*((((4)+(2))-(3))-(3)))),-15
(((((2)/(3))/((5)/(4)))+(((1)/((4)/(5)))/((1)+((3)+(2)))))+(4)),4.74166666667
((1)+((((2)+(5))*(((4)*(5))+(((5)/(4))/((5)+((4)-(3))))))/(2))),71.7291666667
((5)*((5)/(((5)*(5))*((1)+((((((3)*(4))*(1))/(3))*(2))+(5)))))),0.0714285714286
(((2)-(((2)+((5)*(1)))/(3)))-((5)/(((5)/(1))/(((2)*(1))*(1))))),-2.33333333333
(((2)*((((1)+((((1)/(4))/(3))*(4)))-((4)-(3)))+(3)))*((3)+(5))),53.3333333333
((1)*((4)+((((((4)/(2))*(((3)*(5))-((1)*(4))))-(1))/(2))*(4)))),46
(((1)/((1)+((((3)*(((4)*(3))/(((4)/(5))-(4))))/(5))*(5))))+(4)),3.90243902439
((((4)/((2)+((((4)+(4))+(3))*(((3)-(5))-((2)*(2))))))+(4))*(1)),3.9375
(((2)*(2))/(((4)-((2)+(((1)-(3))-((5)+((2)+((1)+(5)))))))*(4))),0.0588235294118
((((((4)/((5)/(1)))/((4)+(4)))-(4))-((((5)/(5))+(2))*(3)))+(4)),-8.9
(((5)*(2))-(((1)+(3))/((2)*(((((5)*((1)/(2)))/(5))+(5))-(2))))),9.42857142857
((3)/(((4)*(((5)-((2)-(((4)-((3)-(1)))*(3))))/(4)))+((1)+(1)))),0.272727272727
(((5)-(4))/((2)+((2)*(((4)*(2))-(((1)/((3)+((4)-(5))))+(5)))))),0.142857142857
((4)/(((3)-(4))-(((4)*(5))-(((((4)*(3))/(3))-((2)*(5)))/(3))))),-0.173913043478
(((4)*(((5)*(((5)-((4)+((1)/((4)*(1)))))/(1)))/(1)))+((4)-(5))),14
(((3)/(5))*(((((3)*((2)*(((4)+(2))+(1))))-(5))*(5))-((2)/(1)))),109.8
(((((4)*(((3)*((2)-(2)))/(2)))+(3))-((5)/((5)*(2))))*((1)-(1))),0
((((2)*((3)*(3)))+(3))+((1)/((((2)+(((4)+(3))+(5)))/(3))-(1)))),21.2727272727
(((((5)+((5)/(((1)*(2))+(3))))/(((1)+((2)+(5)))-(5)))/(2))/(4)),0.25
(((((5)+(1))-((1)/(((3)+((5)/(4)))-(5))))*(4))+(((4)+(1))*(5))),54.3333333333
(((4)/(((3)-(5))*(((2)+(2))/((3)-(2)))))*((1)*((1)+((3)/(3))))),-1
((2)-((((4)*((5)/(((2)/((3)/(1)))+(1))))*(1))/(((4)-(3))*(5)))),-0.4
(((3)/((1)-(2)))/((((2)*(2))+((4)/(4)))-((((3)+(1))-(3))+(3)))),-3
(((4)*(1))+((1)-((3)/(((((4)/(2))*(((3)/(3))/(4)))/(3))*(2))))),-4
(((5)*(((3)-(2))/(3)))*((((1)/((2)-(3)))/((3)*(4)))/((1)+(5)))),-0.0231481481481
(((5)/(5))/(((((((1)+(1))+(3))*(4))*(5))/(5))+(((2)-(4))-(3)))),0.0666666666667
(((2)+(((2)/(2))-((2)/((1)/(3)))))+((4)+(((4)*(3))-((1)/(5))))),12.8
((((2)+(3))*((((5)/(((4)*(3))*(2)))+(4))+(1)))/((5)-((2)*(5)))),-5.20833333333
((((3)/(((((1)*((4)+(5)))*((5)/(3)))+((1)-(2)))*(2)))+(1))-(5)),-3.89285714286
((3)+(((2)/(((((1)/(5))-(((3)-((4)-(2)))+(5)))/(1))*(3)))-(2))),0.885057471264
((((4)/(((2)-(3))*((4)/((((2)/(5))+(1))*((4)/(5))))))*(5))+(1)),-4.6
((((2)*(1))*(((((1)-(((3)-(5))+(1)))-((5)*(4)))+(1))*(2)))*(1)),-68
((((2)-(5))-(5))*((1)-(((((1)*(2))/(((4)*(1))+(5)))/(2))/(5)))),-7.82222222222
(((((4)-((1)-((2)/(3))))-((3)*(5)))+((3)/(4)))-((5)-((3)-(1)))),-13.5833333333
((((4)/(((1)+((3)*((((3)*(5))-(1))/(3))))/((3)*(4))))-(1))-(1)),1.2
((((4)*(2))*((2)+((5)*((1)*((3)+(2))))))*((((2)-(1))*(4))-(2))),432
((4)*((3)+(((1)/((((4)+((2)/(2)))/(3))-(5)))*(((5)-(2))/(1))))),8.4
(((5)-(5))*((((2)+((2)-((1)/((4)/(1)))))+((4)/((5)+(4))))/(1))),0
(((((3)-((5)-((1)/((5)+((5)*(1))))))*((5)*(5)))+((1)-(3)))*(2)),-99
