((((2)-((1)*(2)))-((1)-((4)+(4))))*(((5)+(2))-(2))),35
(((2)/((2)+((1)*((5)-(((1)-(5))-(4))))))-((5)+(2))),-6.86666666667
((((((1)/(5))+((2)-((4)+((3)-(2)))))/(1))-(4))*(1)),-6.8
((3)+(((3)-((3)+((3)+(1))))-(((2)/(5))+((1)-(3))))),0.6
((((1)/((((1)/(2))/(3))+((3)+(1))))*((4)*(5)))*(1)),4.8
((2)+((3)*((((2)/((3)+(4)))*(1))*((3)+((3)*(5)))))),17.4285714286
((1)-((5)/(((4)*((((2)-(4))*(2))*(4)))*((4)*(5))))),1.00390625
((((5)/((4)-(((4)*(4))-((1)*(3)))))/(5))+((5)-(4))),0.888888888889
(((((4)+(4))+(3))/(3))-((((3)-(5))*(4))+((4)+(2)))),5.66666666667
((((4)*(3))+((3)/((5)+(((1)*(4))*((5)-(5))))))*(1)),12.6
(((5)+(2))/((1)*((4)*((((3)+(4))+((4)*(5)))+(5))))),0.0546875
(((2)/(3))*(((3)*((1)+(2)))+((((5)*(2))+(5))*(3)))),36
((1)-(((((((2)+(2))*(2))+(1))/(1))+((1)/(1)))+(2))),-11
((((((((1)*(3))/(1))-(1))+(5))+(2))*((4)-(2)))/(3)),6
((((3)+((3)/(1)))*(3))/((4)+((((2)-(4))*(3))-(4)))),-3
(((4)-(1))/((((3)-(4))-((5)*((1)*((3)+(3)))))-(1))),-0.09375
(((((((5)/(1))+((2)*(4)))-((4)+(2)))/(5))+(1))-(4)),-1.6
(((((2)/((5)+(3)))*(((3)-(5))/(5)))+(4))+((4)-(2))),5.9
((4)-(((((2)+(((2)-(5))-(1)))-(2))*((1)/(1)))/(4))),5
(((3)*((((5)-(1))/(4))+(4)))*((((5)*(5))/(2))*(3))),562.5
((1)/((3)*(((3)+((1)*(((4)+((3)-(2)))/(1))))/(5)))),0.208333333333
((2)+((((((5)*(1))-(2))*((4)+((1)+(1))))*(4))*(5))),362
